locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,niacs_code,latitude,longitude,external_lat_long,hours_of_operation
https://www.shopnsavefood.com/,AC&T Exxon Travel Center,11564 Hopewell Rd.,Hagerstown,MD,21740,US,330,0,"{""gas_station"":""true"",""active"":""false"",""pump_perk"":""false""}",,39.631447,-77.784293,,
https://www.shopnsavefood.com/,Airport-Pittsburgh Int'l,Pitsburgh Int'l Airport - near parking lot,Aliquippa,PA,15231,US,125,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.4943071,-80.2671737,,
https://www.shopnsavefood.com/,Aliquippa,2680 Brodhead Road,Aliquippa,PA,15001,US,126,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.6061231,-80.2835837,,
https://www.shopnsavefood.com/,"Aliquippa, Hopewell",2046 Brodhead - 5 Points Intersection,Aliquippa,PA,15001,US,127,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.5693741,-80.2594466,,
https://www.shopnsavefood.com/,Allison Park,4785 Wm. Flynn. Hwy. Rt. 8,Allison Park,PA,15101,US,128,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.596914,-79.947908,,
https://www.shopnsavefood.com/,Ambridge,www.picnsav.net,2910 Duss Avenue,Ambridge,PA,US,26,1685,"{""gas_station"":""Sun 7:00am-8:00pm"",""active"":""724-266-9758"",""pump_perk"":""724-266-3526""}",,15003,Mon-Sat 7:00am-10:00pm,,
https://www.shopnsavefood.com/,Ambridge,800 Merchant Street,Ambridge,PA,15003,US,129,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.589372,-80.2311673,,
https://www.shopnsavefood.com/,Avalon,400 Union Ave,Avalon,PA,15202,US,344,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.504092 ,-80.0622012 ,,
https://www.shopnsavefood.com/,Baldwin,Curry Hollow & Keeport,Pleasant Hills,PA,15236,US,227,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.33514,-79.98324,,
https://www.shopnsavefood.com/,"Beaver, West Bridgewater",1199 Third Street,Beaver,PA,15009,US,130,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.6919313,-80.3144308,,
https://www.shopnsavefood.com/,Beechview,1721 Banksville Road.,Pittsburgh,PA,15216,US,223,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.40009,-80.04617,,
https://www.shopnsavefood.com/,Belington Express,806 Crim Avenue ,Belington,WV,26250,US,28,1041,"{""gas_station"":""304-823-3104"",""active"":""39.022257"",""pump_perk"":""-79.936953""}",,Mon-Sun 7:00-11:00,304-823-3104,,
https://www.shopnsavefood.com/,Bellevue,4528 Ohio River Boulevard,Bellevue,PA,15202,US,131,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.492014,-80.061497,,
https://www.shopnsavefood.com/,Bethel Park,5001 Library Road,Bethel Park,PA,15102,US,30,1630,"{""gas_station"":""412-831-7177"",""active"":""412-831-0440"",""pump_perk"":""412-831-5516""}",,Monday - Saturday 8am - 9pm,Sunday 9am - 9pm,,
https://www.shopnsavefood.com/,BFS - Bridgeport,51 Genesis Blvd,Bridgeport,WV,26330,US,347,0,"{""gas_station"":""true"",""active"":""false"",""pump_perk"":""false""}",,39.3221619,-80.2326953,,
https://www.shopnsavefood.com/,BFS - Clarksburg,106 Wilsonburg Rd,Clarksburg,WV,26301,US,348,0,"{""gas_station"":""true"",""active"":""false"",""pump_perk"":""false""}",,39.2864039,-80.3834048,,
https://www.shopnsavefood.com/,BFS - South Fairmont SNS Cheat Lake,169 Fairchance Rd.,Morgantown,WV,26508,US,271,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,39.59532,-79.92287,,
https://www.shopnsavefood.com/,BFS - South Fairmont SNS Clarksburg,608 Emily Dr.,Clarksburg,WV,26301,US,274,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,39.3287,-80.27337,,
https://www.shopnsavefood.com/,BFS - South Fairmont SNS Glenmark,204 Venture Dr,Morgantown,WV,26508,US,270,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,39.59532,-79.92287,,
https://www.shopnsavefood.com/,BFS - South Fairmont SNS Kingmont,2201 Pleasant Valley Rd.,Fairmont,WV,26554,US,273,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,39.49411,-80.22128,,
https://www.shopnsavefood.com/,BFS - South Fairmont SNS Mileground,1766 Mileground Rd.,Morgantown,WV,26505,US,275,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,39.59532,-79.92287,,
https://www.shopnsavefood.com/,BFS - South Fairmont SNS White Hall,9615 Mall Loop,Fairmont,WV,26301,US,272,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,39.429370,-80.187752,,
https://www.shopnsavefood.com/,BFS-McHenry,24179 Garret Hwy,McHenry,MD,21541,US,295,0,"{""gas_station"":""true"",""active"":""false"",""pump_perk"":""false""}",,39.556406,-79.351715,,
https://www.shopnsavefood.com/,Bloomfield,4068 Penn Avenue,Bloomfield,PA,15224,US,133,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.4654193,-79.9555033,,
https://www.shopnsavefood.com/,Bloomfield,4779 Liberty St. at Mathilda,Bloomfield,PA,15224,US,134,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.461144,-79.947298,,
https://www.shopnsavefood.com/,Bolivar,455 Main Street,Bolivar,NY,14715,US,31,1086,"{""gas_station"":""42.064109"",""active"":""-78.16824"",""pump_perk"":""false""}",,Mon-Sun 7:00-9:00,585-928-1708,,
https://www.shopnsavefood.com/,Brentwood,2929 Churchview Avenue,Brentwood,PA,15227,US,135,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.38051,-79.96672,,
https://www.shopnsavefood.com/,Brentwood,3299 Saw Mill Run Boulevard,Brentwood,PA,15227,US,136,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.38051,-79.96672,,
https://www.shopnsavefood.com/,Bridgeville,1001 Washington Pike - Route 50,Bridgeville,PA,15017,US,137,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.35458,-80.09134,,
https://www.shopnsavefood.com/,Bridgeville,140 Miller Run Road,Bridgeville,PA,15017,US,138,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.35458,-80.09134,,
https://www.shopnsavefood.com/,Brookline,533 Brookline Boulevard,Brookline,PA,15226,US,139,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.3958975,-80.0225857,,
https://www.shopnsavefood.com/,Brookline,1640 Saw Mill Run Road,Pittsburgh,PA,15210,US,219,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,40.396446,-79.998606,,
https://www.shopnsavefood.com/,Brownsville,1119 Brownsville Rd,Pittsburgh,PA,15210,US,84,83,"{""gas_station"":""412-881-4447"",""active"":""412-881-1967"",""pump_perk"":""40.405146""}",,Mon-Sat 7:00am - 10:00pm,Sun 8:00am - 8:00pm,,
https://www.shopnsavefood.com/,Brownsville,565 High & Broad Streets,Brownsville,PA,15417,US,140,0,"{""gas_station"":""true"",""active"":""true"",""pump_perk"":""true""}",,39.92161,-79.69047,,
https://www.shopnsavefood.com/,Burhans Blvd. Exxon,301 N. Burhans Blvd.,Hagerstown,MD,21741,US,327,0,"{""gas_station"":""true"",""active"":""false"",""pump_perk"":""false""}",,39.649420,-77.724219,,
