"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address"
"https://locations.huddlehouse.com/ga/flowery-branch/7378-friendship-springs-road","Huddle House","7378 Friendship Springs Road","Flowery Branch","GA","30542","US","12086740","(678) 828-7800","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In; Delivery","34.109848064537424","-83.87894511408615","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/cumming/501-buford-rd","Huddle House","501 Buford Rd","Cumming","GA","30040","US","3128154","(770) 844-1959","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Delivery","34.18665411175076","-84.14198577404022","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/gainesville/1920-jesse-jewell-pkwy","Huddle House","1920 Jesse Jewell Pkwy","Gainesville","GA","30501","US","4682783","(470) 252-5870","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In; Delivery","34.31285985764668","-83.7953907251358","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/snellville/3887-centerville-rosebud-rd","Huddle House","3887 Centerville Rosebud Rd","Snellville","GA","30039","US","3128157","(770) 985-6800","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In; Delivery; Huddle Market","33.8043749","-84.0418111","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/marble-hill/35-foothills-pkwy","Huddle House","35 Foothills Pkwy","Marble Hill","GA","30148","US","3128155","(770) 894-4684","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In; Huddle Market","34.41261340719537","-84.28335532248411","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/monroe/709-west-spring-street","Huddle House","709 West Spring Street","Monroe","GA","30655","US","3128146","(770) 207-0007","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In; Delivery; Huddle Market","33.79353032147609","-83.72684419155115","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/cleveland/15-old-blairsville-rd","Huddle House","15 Old Blairsville Rd","Cleveland","GA","30528","US","3128132","(706) 865-5922","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In","34.60129382737156","-83.76560345292091","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/helen/8428-s-main-street","Huddle House","8428 S Main Street","Helen","GA","30545","US","3128133","(706) 878-3202","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In","34.7007887948589","-83.72707353372948","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/clarkesville/459-washington-street","Huddle House","459 Washington Street","Clarkesville","GA","30523","US","3128131","(706) 839-1225","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In","34.603404447212334","-83.51971060037613","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
"https://locations.huddlehouse.com/ga/mcdonough/350-keys-ferry-street","Huddle House","350 Keys Ferry Street","McDonough","GA","30253","US","3128156","(770) 898-0670","All-Day Breakfast; Lunch and Dinner; To Go; Loyalty Program; Dine In; Delivery","33.4469477140779","-84.13622436441801","https://locations.huddlehouse.com/","<MISSING>","<MISSING>"
