"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://papemachinery.com/locations","Papé Kenworth Alaska","2262 Van Horn Road","Fairbanks","Alaska","99701","US	","<MISSING>","907-455-9900","<MISSING>","64.8130","-147.775762	","Monday-Friday 8:00 am- 5:00 pm  Saturday  Closed  Sunday  Closed"
"https://papemachinery.com/locations","Papé Kenworth Alaska","2838 Porcupine Drive","Anchorage","Alaska","99501","US	","<MISSING>","907-279-0602","<MISSING>","61.222026","-149.8273038	","Monday-Friday  8:00 am- 5:00pm  Saturday  Closed  Sunday  Closed"
"https://papemachinery.com/locations","Papé Material Handling","3896 Irongate Road","Bellingham","WA","98226","US	","<MISSING>","360-756-6707","<MISSING>","48.783","-122.45288	","Monday - Friday 7:00am - 5:00pm  Saturday - Sunday Closed"
"https://papemachinery.com/locations","Papé Kenworth Northwest","1400 Iowa Street","Bellingham","WA","98229","US	","<MISSING>","360-526-2850","<MISSING>","48.75635","-122.456017	","Monday-Friday 8am-5pm"
"https://papemachinery.com/locations","Papé Machinery Construction &amp; Forestry","420 East Hickox Road","Mount Vernon","WA","98273","US	","<MISSING>","1-360-424-3291","<MISSING>","48.38438","-122.33305	","Mon - Fri 7:00am - 5:00pm"
"https://papemachinery.com/locations","Papé Material Handling","16910 59th Ave N","Arlington","WA","98223","US	","<MISSING>","360-403-4700","<MISSING>","48.14982","-122.15255	","Monday - Friday 7:30am - 5:00pm  Saturday - Sunday Closed"
"https://papemachinery.com/locations","Papé Kenworth Northwest","11300 31ST Drive N.E.","Marysville","WA","98271","US	","<MISSING>","(360) 658-7049","<MISSING>","48.02441","-122.124574	","Monday-Friday 7am-11pm  Saturday 7:30am-4pm"
"https://papemachinery.com/locations","Papé Machinery Construction &amp; Forestry","477303 HWY 95","Ponderay","ID","83852","US	","<MISSING>","208-265-7282","<MISSING>","48.3120","-116.54833	","Mon - Fri 8:00am - 5:30pm  Saturday 8:00am - 4:00pm"
"https://papemachinery.com/locations","Papé Machinery Agriculture &amp; Turf","477303 HWY 95","Ponderay","ID","83852","US	","<MISSING>","208-265-7282","<MISSING>","48.29607","-116.54779	","Mon - Fri 8:00am - 5:00pm  Saturday 8:00am - 12:00pm  Sunday Closed"
"https://papemachinery.com/locations","Papé Material Handling","9800 40th Ave South","Seattle","WA","98118","US	","<MISSING>","800-735-7153","<MISSING>","47.5130","-122.28145	","<MISSING>"
"https://papemachinery.com/locations","Papé Material Handling","9892 40th Avenue S","Seattle","WA","98118","US	","<MISSING>","206-760-4300","<MISSING>","47.51033","-122.28208	","Monday - Friday 7:00am - 5:00pm  Saturday - Sunday Closed"
"https://papemachinery.com/locations","Papé Material Handling","9883 40th Ave South","Seattle","WA","98118","US	","<MISSING>","206-722-5800","<MISSING>","47.51100","-122.28234	","<MISSING>"
"https://papemachinery.com/locations","Ditch Witch West","12900 48th Avenue South","Tukwila","WA","98168","US	","<MISSING>","206-995-8420","<MISSING>","47.48689","-122.267975	","Monday - Friday 7:00am - 5:00pm  Saturday - Sunday Closed"
"https://papemachinery.com/locations","Papé Kenworth Northwest","20220 International Blvd. S.","SeaTac","WA","98198","US	","<MISSING>","(206) 433-5911","<MISSING>","47.43","-122.296	","Monday-Friday 6:00am-10:00pm  Saturday 7:30am-4:00pm  Sunday Closed"
"https://papemachinery.com/locations","Papé Machinery Construction &amp; Forestry","19808 68th Ave.","Kent","WA","98032-2145","US	","<MISSING>","1-206-575-0140","<MISSING>","47.42466","-122.24866	","Mon - Fri 7:00am - 5:00pm"
"https://papemachinery.com/locations","Papé Material Handling","1307 54th Avenue E","Fife","WA","98424","US	","<MISSING>","253-926-5900","<MISSING>","47.24479","-122.35635	","Monday - Friday 7:00am - 5:00pm"
"https://papemachinery.com/locations","Papé Machinery Construction &amp; Forestry","3607 20th Street East","Tacoma","WA","98424","US	","<MISSING>","1-253-922-8718","<MISSING>","47.24014","-122.38079	","Mon - Fri 7:00am - 5:00pm"
"https://papemachinery.com/locations","Papé Kenworth Northwest","120 South Maple St.","Aberdeen","WA","98520","US	","<MISSING>","(360) 533-3356","<MISSING>","46.9680","-123.846476	","Monday 7am - 7pm  Tuesday - Friday 7am - 8pm  Saturday 7:30am - 4pm  Sunday Closed"
"https://papemachinery.com/locations","Papé Machinery Construction &amp; Forestry","3500 State Highway 97A","Wenatchee","WA","98801","US	","<MISSING>","1-509-664-1265","<MISSING>","47.48114","-120.322556	","Mon - Fri 7:00am - 5:00pm"
"https://papemachinery.com/locations","Papé Material Handling","3500 State Highway 97A","Wenatchee","WA","98801","US	","<MISSING>","509-884-2934","<MISSING>","47.48114","-120.322556	","Monday - Friday 8:00am - 5:00pm  Saturday - Sunday Closed"
"https://papemachinery.com/locations","Papé Machinery Construction &amp; Forestry","426 S Fleet St","Montesano","WA","98563","US	","<MISSING>","1-360-249-4114","<MISSING>","46.97749","-123.60301	","Mon - Fri 8:00am - 5:00pm"
"https://papemachinery.com/locations","Papé Kenworth Northwest","12507 Pacific Hwy SW","Lakewood","WA","98499","US	","<MISSING>","(253) 536-8800","<MISSING>","47.14319","-122.514608	","Monday - Friday 7am-12am  Saturday 8am-4pm"
"https://papemachinery.com/locations","Ditch Witch West","5518 E Broadway","Spokane Valley","WA","99212","US	","<MISSING>","509-536-7300","<MISSING>","47.6640","-117.33005	","Monday - Friday 7:00am - 5:00pm  Saturday - Sunday Closed"
"https://papemachinery.com/locations","Papé Material Handling","5518 E Broadway","Spokane Valley","WA","99212","US	","<MISSING>","509-534-3332","<MISSING>","47.6640","-117.33005	","Monday - Friday 8:00am - 5:00pm  Saturday - Sunday Closed"
"https://papemachinery.com/locations","Papé Machinery Construction &amp; Forestry","6210 West Rowand Road","Spokane","WA","99224","US	","<MISSING>","1-509-838-5252","<MISSING>","47.624","-117.50052	","Mon - Fri 7:00am - 5:00pm"
"https://papemachinery.com/locations","Papé Machinery Agriculture &amp; Turf","10010 S. State Route 904","Four Lakes","WA","99014","US	","<MISSING>","509-483-2868","<MISSING>","47.56342","-117.59498	","Mon - Fri 8:00am - 5:00pm  Saturday 8:00am - 12:00pm  Sunday Closed"
"https://papemachinery.com/locations","Papé Machinery Agriculture &amp; Turf","E. 525 Poplar St.","Tekoa","WA","99033","US	","<MISSING>","509-284-2501","<MISSING>","47.2269","-117.07039	","Mon - Fri 8:00am - 5:00pm  Saturday 8:00am - 12:00pm  Sunday Closed"
"https://papemachinery.com/locations","Papé Machinery Construction &amp; Forestry","2209 Terrace Heights Rd.","Yakima","WA","98901","US	","<MISSING>","1-509-248-7910","<MISSING>","46.60739","-120.469864	","Main: Mon - Fri 7:00am - 5:00pm  Parts: Mon - Fri 8:00am - 5:00pm  Rental: Mon - Fri 7:00am - 5:00pm"
