"locator_domain","business_name","location_name","street_address","city","state","zip","store_number","Phone","store_type","location_type","naics_code","latitude","longitude","hours_of_operation","payment_options","amenities","unique_Id","Domain ID","Toll_Free_Phone","Company_Website","Company_Email_Address","Primary_Contact_Name","Primary_Contact_Title","Contact_Email_Address","Has_Ecommerce","Year_Established","Facebook_URL","GooglePlus_URL","Instagram_URL","LinkedIn_URL","Pinterest_URL","Twitter_URL","YouTube_URL","Foursquare_URL","Tumblr_URL","Yelp_URL","reservations","atm","country_code","fax_number","Source URL","Update_time"
"https://www.wendys.com/","THE WENDY'S COMPANY","1531 BELVEDERE ROAD","1531 BELVEDERE ROAD","W.PALM BEACH","FL","33406","2568","5614719554","","Brand store","722511 - Full-Service Restaurants","26.6912968","-80.074053","[{days:[mon|tue|wed|thu|fri],start_time:09:00:00|end_time:13:00:00},{days:[sat|sun],start_time:09:00:00|end_time:14:00:00}]","Gift card, Credit Card, Debit Card","","14689","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","1532 N.E. 163RD ST.","1532 N.E. 163RD ST.","MIAMI","FL","33162","1703","3059495074","","Brand store","722511 - Full-Service Restaurants","25.9253991","-80.1689132","[{days:[mon|tue|wed|thu|fri|sat|sun],start_time:09:00:00|end_time:13:00:00}]","Gift card, Credit Card, Debit Card","","14690","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","OZARK","1532 S US HIGHWAY 231","OZARK","AL","36360","5157","3347740780","","Brand store","722511 - Full-Service Restaurants","31.4432345","-85.6521774","[{days:[mon|tue|wed|thu|fri|sat|sun],start_time:10:00:00|end_time:23:00:00}]","Gift card, Credit Card, Debit Card","","14691","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","REIDSVILLE","1533 FREEWAY DRIVE","REIDSVILLE","NC","27320","7522","3363494884","","Brand store","722511 - Full-Service Restaurants","36.3385283","-79.693839","[{days:[mon|tue|wed|thu|fri],start_time:10:30:00|end_time:00:00:00},{days:[sat|sun],start_time:10:30:00|end_time:01:00:00}]","Gift card, Credit Card, Debit Card","","14692","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","NE 181ST AVE.","1535 NE 181ST AVE.","PORTLAND","OR","97230","1632","5036616638","","Brand store","722511 - Full-Service Restaurants","45.5340876","-122.477781","[{days:[mon|tue|wed|thu|fri],start_time:10:00:00|end_time:00:00:00},{days:[sat|sun],start_time:10:00:00|end_time:14:00:00}]","Gift card, Credit Card, Debit Card","","14693","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","W61 WALLISVILLE","15355 WALLISVILLE ROAD","HOUSTON","TX","77049","8067","8322847261","","Brand store","722511 - Full-Service Restaurants","29.8086536","-95.1657104","[{days:[mon|tue|wed|thu|fri],start_time:10:00:00|end_time:00:00:00},{days:[sat|sun],start_time:10:00:00|end_time:13:00:00}]","Gift card, Credit Card, Debit Card","","14694","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","REEMS","15389 W. CACTUS","SURPRISE","AZ","85379","11268","6239753023","","Brand store","722511 - Full-Service Restaurants","33.5947512","-112.3912182","[{days:[mon|tue|wed|thu|fri|sat|sun],start_time:10:00:00|end_time:00:00:00}]","Gift card, Credit Card, Debit Card","","14695","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","154 PROMINENCE POINT BLVD.","154 PROMINENCE POINT BLVD.","CANTON","GA","30114","9870","7704790737","","Brand store","722511 - Full-Service Restaurants","34.1902177","-84.5103597","[{days:[mon|tue|wed|thu|fri],start_time:10:30:00|end_time:23:00:00},{days:[sat|sun],start_time:10:30:00|end_time:00:00:00}]","Gift card, Credit Card, Debit Card","","14696","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","EGYPT ROAD AND 422","1540 EGYPT ROAD","PHOENIXVILLE","PA","19460","11188","6106500102","","Brand store","722511 - Full-Service Restaurants","40.134026","-75.4519708","[{days:[mon|tue|wed|thu|fri],start_time:10:00:00|end_time:23:00:00},{days:[sat|sun],start_time:10:00:00|end_time:00:00:00}]","Gift card, Credit Card, Debit Card","","14697","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
"https://www.wendys.com/","THE WENDY'S COMPANY","MIDVALE","1540 W VALENCIA RD","TUCSON","AZ","85746","7657","5204349289","","Brand store","722511 - Full-Service Restaurants","32.1343216","-110.9975831","[{days:[mon|tue|wed|thu|fri],start_time:10:00:00|end_time:00:00:00},{days:[sat|sun],start_time:10:00:00|end_time:13:00:00}]","Gift card, Credit Card, Debit Card","","14698","1466","","https://www.wendys.com/","","","","","Yes","","https://www.facebook.com/Wendys","","https://instagram.com/wendys/#","","","https://twitter.com/Wendys","","","","","","","US","","https://find.wendys.com/",""
