"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url","raw_address"
"https://www.kiyonna.com","Kiyonna Boutique","1315 N. Brasher St.","Anaheim","<INACCESSIBLE>","<INACCESSIBLE>","US","","(888) 549-6662","kiyonna","33.8608307","-117.7993606","Mon-Fri 9am-5pm","https://www.kiyonna.com/GMAP.html","California 92807 USA"
"https://www.kiyonna.com","Kreative Design","1290 Kings Road Suite 20","Sydney","<INACCESSIBLE>","<INACCESSIBLE>","CA","1","902-567-0648","kiyonna","46.107209","-60.2253422","Mon-Fri 9AM-6PM Sat 10AM-5PM Sun 12PM-4PM","https://www.kiyonna.com/GMAP.html","NS B1S1E2 Canada"
"https://www.kiyonna.com","The Fluffy Flamingo","712 Henry Clay Blvd.","Lexington","<INACCESSIBLE>","<INACCESSIBLE>","US","2","859-523-1966","kiyonna","38.0376201","-84.4646414","Mon Closed Tue-Sat 11AM-6PM Sun 12PM-5PM","https://www.kiyonna.com/GMAP.html","KY 40505 United States"
"https://www.kiyonna.com","Classic Woman","3030 Denali Street Suite 6","Anchorage","<INACCESSIBLE>","<INACCESSIBLE>","US","3","907-563-5228","kiyonna","61.192889","-149.877577","Monday-Friday 11AM-6PM Saturday 10AM-5PM","https://www.kiyonna.com/GMAP.html","AK 99503 United States"
"https://www.kiyonna.com","Backcountry Boutique","1000 N. 2nd Street Suite 101","McCall","<INACCESSIBLE>","<INACCESSIBLE>","US","4","2086349966","kiyonna","44.9103082","-116.0996871","Monday-Sunday 10:30AM-5:30PM","https://www.kiyonna.com/GMAP.html","ID 83638 United States"
"https://www.kiyonna.com","A Stitch In Time Bridal Boutique","9494 S. Oceana Drive","Montague","<INACCESSIBLE>","<INACCESSIBLE>","US","5","231-894-8753","kiyonna","43.4734034","-86.3463666","Mon-Fri: 10am-5pm | Sat & Sun: Closed","https://www.kiyonna.com/GMAP.html","Michigan 49437 USA"
"https://www.kiyonna.com","Classy and Sassy","2901 Pines Mall Drive Suite 100","Pine Bluff","<INACCESSIBLE>","<INACCESSIBLE>","US","6","501-428-0985","kiyonna","34.2087196","-91.9682768","Sun: 12pm-6pm | Mon-Sat: 10am-8pm","https://www.kiyonna.com/GMAP.html","Arkansas 71601 USA"
"https://www.kiyonna.com","Sandra's Boutique","1776 S. Easton Rd.","Doylestown","<INACCESSIBLE>","<INACCESSIBLE>","US","7","267-571-7261","kiyonna","40.2789491","-75.1268805","Mon: 2pm-6pm | Tues-Fri: 10am-6pm | Sat: 11am-5pm","https://www.kiyonna.com/GMAP.html","Pennsylvania 18901 USA"
"https://www.kiyonna.com","Gussied Up","1090 Bathurst St.","Toronto","<INACCESSIBLE>","<INACCESSIBLE>","CA","8","647-352-7587","kiyonna","43.6726951","-79.4144512","Tues-Fri: 11am-7pm | Sat: 11am-5pm | Sun: 12pm-4pm","https://www.kiyonna.com/GMAP.html","Ontario M5R3G9 Canada"
"https://www.kiyonna.com","The Dress Outlet","1220 S. Maple Ave Suite 1205","Los Angeles","<INACCESSIBLE>","<INACCESSIBLE>","US","9","800-319-8930","kiyonna","34.0348871","-118.2565259","Fridays: 10am-3pm","https://www.kiyonna.com/GMAP.html","California 90015 USA"
"https://www.kiyonna.com","Bodacious Lifestyles, Inc.","2-1113 Langley Street","Victoria","<INACCESSIBLE>","<INACCESSIBLE>","CA","10","250-385-8169","kiyonna","48.4253132","-123.3682344","Mon-Sat: 10am-6pm  //  Sun: 11am-5pm","https://www.kiyonna.com/GMAP.html","British Columbia V8W1V9 Canada"
"https://www.kiyonna.com","Esthers Place Boutique","414 W. Taylor Street","Kokomo","<INACCESSIBLE>","<INACCESSIBLE>","US","11","765-419-4140","kiyonna","40.489469","-86.135347","Mon-Thurs, Sat & Sun: Appt. Only // Fri:10am-3","https://www.kiyonna.com/GMAP.html","Indiana 46901 USA"
"https://www.kiyonna.com","Kiyonna Boutique","1315 N. Brasher St.","Anaheim","<INACCESSIBLE>","<INACCESSIBLE>","US","12","(888) 549-6662","kiyonna","33.8608307","-117.7993606","Mon-Fri 9am-5pm","https://www.kiyonna.com/GMAP.html","California 92807 USA"
"https://www.kiyonna.com","Unique Vintage","2013 W. Magnolia Blvd","Burbank","<INACCESSIBLE>","<INACCESSIBLE>","US","13","1-818-848-1540","kiyonna","34.1737092","-118.330221","Monday-Friday 10:00am-6:00pm","https://www.kiyonna.com/GMAP.html","California 91506 USA"
"https://www.kiyonna.com","Righteous Shoes &amp; Apparel","3764 Moffett Road","Mobile","<INACCESSIBLE>","<INACCESSIBLE>","US","14","251-287-7718","kiyonna","30.7109051","-88.127807","Tues-Fri: 12pm-6pm | Sat: 11am-5pm","https://www.kiyonna.com/GMAP.html","Alabama 36618 USA"
"https://www.kiyonna.com","David's Bridal #19","4503 West Kennedy Blvd.","Tampa","<INACCESSIBLE>","<INACCESSIBLE>","US","15","813-281-8053","kiyonna","27.9451391","-82.5206774","<MISSING>","https://www.kiyonna.com/GMAP.html","Florida 33609 USA"
"https://www.kiyonna.com","The Sturdy Hinge","121 East 2nd Street Suite 400","Owensboro","<INACCESSIBLE>","<INACCESSIBLE>","US","16","270-314-2631","kiyonna","37.7752474","-87.1102121","<MISSING>","https://www.kiyonna.com/GMAP.html","Kentucky 42301 USA"
"https://www.kiyonna.com","Marilisas Fashion","1500 South Willow Street","Manchester","<INACCESSIBLE>","<INACCESSIBLE>","US","17","603-260-6182","kiyonna","42.9554768","-71.4325338","Mon-Sat: 10am to 9pm | Sun: 11am to 6pm","https://www.kiyonna.com/GMAP.html","New Hampshire 03103 USA"
"https://www.kiyonna.com","Grace Boutique","401 Main Street","Laurel","<INACCESSIBLE>","<INACCESSIBLE>","US","18","<MISSING>","kiyonna","39.1060944","-76.8477939","Tues-Fri: 11am-7pm  |  Sat: 10am-5pm","https://www.kiyonna.com/GMAP.html","Maryland 20707 USA"
"https://www.kiyonna.com","The Peacock Room","15 E Kirby St","Detroit","<INACCESSIBLE>","<INACCESSIBLE>","US","19","313-559-5500","kiyonna","42.360504","-83.0660302","<MISSING>","https://www.kiyonna.com/GMAP.html","Michigan USA"
"https://www.kiyonna.com","Between Brides Boutique","3960 30th St SW","Grandville","<INACCESSIBLE>","<INACCESSIBLE>","US","20","616-558-1915","kiyonna","42.9094107","-85.762379","<MISSING>","https://www.kiyonna.com/GMAP.html","Michigan 49418 USA"
"https://www.kiyonna.com","David's Bridal #41","32127 John R. Rd","Madison Heights","<INACCESSIBLE>","<INACCESSIBLE>","US","21","248-616-9400","kiyonna","42.5299057","-83.1103159","<MISSING>","https://www.kiyonna.com/GMAP.html","Michigan 48071 USA"
"https://www.kiyonna.com","Grace Boutique of Old Town","509 E. Grand River","Lansing","<INACCESSIBLE>","<INACCESSIBLE>","US","22","517-927-8628","kiyonna","42.7475669","-84.5459812","<MISSING>","https://www.kiyonna.com/GMAP.html","Michigan 48906 USA"
"https://www.kiyonna.com","TenTwentyFour Store","168 N. Sharpe Ave.","Cleveland","<INACCESSIBLE>","<INACCESSIBLE>","US","23","662-579-3325","kiyonna","33.7469162","-90.7211049","<MISSING>","https://www.kiyonna.com/GMAP.html","Mississippi 38732 USA"
"https://www.kiyonna.com","Honey's Child Boutique","1927 Washington Ave St.","St. Louis","<INACCESSIBLE>","<INACCESSIBLE>","US","24","314-875-0011","kiyonna","38.6340713","-90.2072603","Wed: 12pm-7pm | Thu-Fri: 12pm-6pm | Sat: 12pm-7pm","https://www.kiyonna.com/GMAP.html","Missouri 63103 USA"
"https://www.kiyonna.com","Curvy Closet and Accessories Boutique","232-B South Lafayette St.","Shelby","<INACCESSIBLE>","<INACCESSIBLE>","US","25","704-974-9660","kiyonna","35.2897591","-81.54083","Tues-Thurs: 11a-6p | Fri: 11a-7p | Sat: 10a-7p","https://www.kiyonna.com/GMAP.html","North Carolina 28150 USA"
