locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,store_status
https://rapidfiredpizza.com/locations,Fremont,37120 Fremont Blvd Suite Q,Fremont,CA,94536,US,<MISSING>,5105651661,<MISSING>,37.5596252,-122.0116106,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Jeffersonville,1645 Veterans Parkway,Jeffersonville,IN,47130,US,<MISSING>,8127251151,<MISSING>,38.3289042,-85.7464927,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Merrillville,8160 Mississippi St,Merrillville,IN,46410,US,<MISSING>,,<MISSING>,41.4702719,-87.3193168,<MISSING>,Coming Soon
https://rapidfiredpizza.com/locations,New Albany,412 W Daisy Lane,New Albany,IN,47150,US,<MISSING>,8129134081,<MISSING>,38.3095861,-85.9093402,Sun-Thu: 11am-10pm; Fri-Sat: 11am-10pm,Open
https://rapidfiredpizza.com/locations,Ashland,850 Central Ave,Ashland,KY,41101,US,<MISSING>,6063933061,<MISSING>,38.480761,-82.6516497,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Florence,7555 Mall Road,Florence,KY,41042,US,<MISSING>,8599181647,<MISSING>,39.001462,-84.653962,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Beavercreek,3301 Dayton Xenia Rd,Beavercreek,OH,45432,US,<MISSING>,9379566168,<MISSING>,39.727705,-84.057845,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Bowling Green,852 S Main St,Bowling Green,OH,43402,US,<MISSING>,4198064415,<MISSING>,41.362310,-83.651392,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Centerville,1008 Miamisburg-Centerville Rd,Washington Township,OH,45458,US,<MISSING>,9376401305,<MISSING>,39.627194,-84.188098,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Corryville Kroger,1 W Corry St,Cincinnati,OH,45219,US,<MISSING>,,<MISSING>,39.1285013,-84.5113903,Sun-Thu: 10:30am-9pm; Fri-Sat: 10:30am-9pm,Open
