"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"https://www.ditchwitch.com/find-a-dealer","DITCH WITCH CEA","230 – 232 WELSHPOOL ROAD","Welshpool","<MISSING>","6106","AU","2248","+61 8.9259.7003","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 7:00 AM - 7:00 AM; tue: 7:00 AM - 7:00 AM; wed: 7:00 AM - 7:00 AM; fri: 7:00 AM - 7:00 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","DITCH WITCH CEA","260 Cormack Road","WINGFIELD","<MISSING>","5013","AU","2247","+61 8.8260.7911","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 7:00 AM - 7:00 AM; tue: 7:00 AM - 7:00 AM; wed: 7:00 AM - 7:00 AM; fri: 7:00 AM - 7:00 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","DITCH WITCH CEA","109 MEROLA WAY","CAMPBELLFIELD","<MISSING>","3061","AU","2246","+61 3.8301.4401","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 7:00 AM - 7:00 AM; tue: 7:00 AM - 7:00 AM; wed: 7:00 AM - 7:00 AM; fri: 7:00 AM - 7:00 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","DITCH WITCH CEA","Lot 6 Skyline Crescent","Horningsea Park","<MISSING>","2171","AU","2240","+61 2.9838 5000","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 7:00 AM - 7:00 AM; tue: 7:00 AM - 7:00 AM; wed: 7:00 AM - 7:00 AM; fri: 7:00 AM - 7:00 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","DITCH WITCH CEA","11 KILN ST","DARRA","<MISSING>","4076","AU","2249","+61 7.3715.3200","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 7:00 AM - 7:00 AM; tue: 7:00 AM - 7:00 AM; wed: 7:00 AM - 7:00 AM; fri: 7:00 AM - 7:00 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","TECMECO","Calle 94A No.11A-32 Ofic 205","BOGOTA","<MISSING>","110221","CO","2587","57.1.6263244","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 08:00 AM - 08:00 AM; tue: 08:00 AM - 08:00 AM; wed: 08:00 AM - 08:00 AM; fri: 08:00 AM - 08:00 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","USAE (MALAYSIA) SDN. BHD.","NO. 8, JALAN UTAMA 1/12 TAMAN PERINDUSTRIAN PUCHONG UT","PUCHONG SELANGOR DARUL EH","<MISSING>","47100","MY","2335","60 3 806 0 6533","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 9:00 AM - 9:00 AM; tue: 9:00 AM - 9:00 AM; wed: 9:00 AM - 9:00 AM; fri: 9:00 AM - 9:00 AM; sat: 9:00 AM - 9:00 AM; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","MAATS INSAAT MAKINALARI TICARET LTD. STI.","UZAYCAGI CADDESI NO: 7 YENIMAHALLE","OSTIM/ANKARA","<MISSING>","6374","TR","2669","+90 312 354 33 70","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 8:30 AM - 8:30 AM; tue: 8:30 AM - 8:30 AM; wed: 8:30 AM - 8:30 AM; fri: 8:30 AM - 8:30 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","INFRASTRUCTURE EQUIPMENT AND SERVICE INC.","Warehouse 3 Unit 5D Pillar Pilar Road Corner Rose Avenue","Las Pinas City","<MISSING>","1750","PH","2355","63 276166968","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 10:00 AM - 10:00 AM; tue: 10:00 AM - 10:00 AM; wed: 10:00 AM - 10:00 AM; fri: 10:00 AM - 10:00 AM; sat: 10:00 AM - 10:00 AM; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","USAE (Thailand) Co., Ltd.","131/79 Soi Phaholyothin 52 Yaek 42 (Samphan Villa 1) Phaholyothin Road, Klong Thanon","BANGKOK","<MISSING>","10220","TH","2334","11 662 973 9113","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 8:30 AM - 8:30 AM; tue: 8:30 AM - 8:30 AM; wed: 8:30 AM - 8:30 AM; fri: 8:30 AM - 8:30 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
"https://www.ditchwitch.com/find-a-dealer","USAE PTE LTD","48 TOH GUAN ROAD EAST #03-97 ENTERPRISE HUB","SINGAPORE","<MISSING>","608586","SG","2196","65 6865 3964","<MISSING>","<MISSING>","<MISSING>","http://ditchwitch.com/","mon: 8:30 AM - 8:30 AM; tue: 8:30 AM - 8:30 AM; wed: 8:30 AM - 8:30 AM; fri: 8:30 AM - 8:30 AM; sat: Closed - Closed; sun: Closed - Closed","<MISSING>","store_number"
