"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"https://www.golftec.com/golf-lessons/honolulu","Honolulu","<MISSING>","Honolulu","HI","96814","United States","1000000094","808-441-0105","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 8:00 AM - 9:00 PM; TUES: 8:00 AM - 9:00 PM; WED: 8:00 AM - 9:00 PM; THUR: 8:00 AM - 9:00 PM; FRI: 8:00 AM - 9:00 PM; SAT: 9:00 AM - 7:00 PM; SUN: 9:00 AM - 7:00 PM","<MISSING>","page_url"
"https://www.golftec.com/en-ca/golf-lessons/vancouver/north-vancouver","North Vancouver","<MISSING>","North Vancouver","BC","V7M 3G6","Canada","1000000188","604-904-3677","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 10:00 AM - 6:00 PM; TUES: 8:00 AM - 9:00 PM; WED: 8:00 AM - 9:00 PM; THUR: 8:00 AM - 9:00 PM; FRI: 10:00 AM - 6:00 PM; SAT: 10:00 AM - 6:00 PM; SUN: 10:00 AM - 6:00 PM","<MISSING>","page_url"
"https://www.golftec.com/en-ca/golf-lessons/vancouver/vancouver-terminal-avenue","Vancouver Terminal Avenue","<MISSING>","Vancouver","BC","V6A 2M2","Canada","1000000193","604-683-4653","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 8:00 AM - 9:00 PM; TUES: 8:00 AM - 9:00 PM; WED: 8:00 AM - 9:00 PM; THUR: 8:00 AM - 9:00 PM; FRI: 8:00 AM - 9:00 PM; SAT: 9:00 AM - 5:00 PM; SUN: 9:00 AM - 5:00 PM","<MISSING>","page_url"
"https://www.golftec.com/en-ca/golf-lessons/vancouver/richmond-bc","Richmond BC","Inside Golf Town Inside Golf Town","Richmond","BC","V6X 1S3","Canada","1000000278","604-370-4653","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 11:00 AM - 7:00 PM; TUES: 10:00 AM - 9:00 PM; WED: 10:00 AM - 9:00 PM; THUR: 10:00 AM - 9:00 PM; FRI: 11:00 AM - 7:00 PM; SAT: 10:00 AM - 6:00 PM; SUN: 10:00 AM - 5:00 PM","<MISSING>","page_url"
"https://www.golftec.com/en-ca/golf-lessons/vancouver/coquitlam","Coquitlam","Inside Golf Town Inside Golf Town","Coquitlam","BC","V3B 5R5","Canada","1000000267","604-474-0875","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 10:00 AM - 5:00 PM; TUES: 9:00 AM - 6:00 PM; WED: 9:00 AM - 6:00 PM; THUR: 9:00 AM - 6:00 PM; FRI: 9:00 AM - 6:00 PM; SAT: 9:00 AM - 6:00 PM; SUN: 10:00 AM - 5:00 PM","<MISSING>","page_url"
"https://www.golftec.com/en-ca/golf-lessons/vancouver/south-surrey","South Surrey","<MISSING>","Surrey","BC","V3Z 0C8","Canada","1000000208","604-385-4653","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 9:00 AM - 9:00 PM; TUES: 8:00 AM - 9:00 PM; WED: 8:00 AM - 9:00 PM; THUR: 8:00 AM - 9:00 PM; FRI: 8:00 AM - 4:00 PM; SAT: 8:00 AM - 4:00 PM; SUN: 8:00 AM - 4:00 PM","<MISSING>","page_url"
"https://www.golftec.com/golf-lessons/seattle/lynnwood","Lynnwood","<MISSING>","Lynnwood","WA","98036","United States","1000000202","425-412-3999","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 8:00 AM - 8:00 PM; TUES: 8:00 AM - 8:00 PM; WED: 8:00 AM - 8:00 PM; THUR: 8:00 AM - 7:00 PM; FRI: 8:00 AM - 5:00 PM; SAT: 8:00 AM - 4:00 PM; SUN: 8:00 AM - 4:00 PM","<MISSING>","page_url"
"https://www.golftec.com/golf-lessons/seattle/south-lake-union","South Lake Union","<MISSING>","Seattle","WA","98109","United States","1000000132","206-357-6885","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 7:00 AM - 6:00 PM; TUES: 7:00 AM - 8:00 PM; WED: 7:00 AM - 8:00 PM; THUR: 7:00 AM - 8:00 PM; FRI: 7:00 AM - 5:00 PM; SAT: 8:00 AM - 4:00 PM; SUN: 8:00 AM - 4:00 PM","<MISSING>","page_url"
"https://www.golftec.com/golf-lessons/seattle/redmond","Redmond","<MISSING>","Redmond","WA","98052","United States","1000000366","425-689-5881","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 9:00 AM - 5:00 PM; TUES: 9:00 AM - 8:00 PM; WED: 9:00 AM - 8:00 PM; THUR: 9:00 AM - 8:00 PM; FRI: 9:00 AM - 5:00 PM; SAT: 8:00 AM - 4:00 PM; SUN: 8:00 AM - 4:00 PM","<MISSING>","page_url"
"https://www.golftec.com/golf-lessons/seattle/bellevue","Bellevue","<MISSING>","Bellevue","WA","98004","United States","1000000164","425-454-7956","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 8:00 AM - 7:00 PM; TUES: 8:00 AM - 8:00 PM; WED: 8:00 AM - 8:00 PM; THUR: 8:00 AM - 8:00 PM; FRI: 8:00 AM - 6:00 PM; SAT: 10:00 AM - 6:00 PM; SUN: 8:00 AM - 4:00 PM","<MISSING>","page_url"
"https://www.golftec.com/golf-lessons/seattle/southcenter","Southcenter","<MISSING>","Tukwila","WA","98188","United States","1000000182","206-577-3500","<MISSING>","<MISSING>","<MISSING>","https://www.golftec.com","MON: 7:00 AM - 8:00 PM; TUES: 7:00 AM - 8:00 PM; WED: 7:00 AM - 8:00 PM; THUR: 7:00 AM - 8:00 PM; FRI: 7:00 AM - 5:00 PM; SAT: 8:00 AM - 4:00 PM; SUN: 8:00 AM - 4:00 PM","<MISSING>","page_url"
