"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2200-cleveland-road","Hy-Miler #2200 Cleveland Road","1631 Cleveland Road","Sandusky","Ohio","44870","US","2200","419-625-1427","<MISSING>","41.44286","-82.6866","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2202-columbus-ave","Hy-Miler #2202 Columbus Ave","2506 Columbus Ave","Sandusky","Ohio","44870","US","2202","419-625-5661","<MISSING>","41.43253","-82.6973","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2204-milan-road","Hy-Miler #2204 Milan Road","5511 Milan Road","Sandusky","Ohio","44870","US","2204","419-625-9238","<MISSING>","41.40227","-82.6584","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2205-milan-road","Hy-Miler #2205 Milan Road","7001 Milan Road","Sandusky","Ohio","44870","US","2205","419-616-4321","<MISSING>","41.38638","-82.6475","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2220-perkins-avenue","Hy-Miler #2220 Perkins Avenue","310 West Perkins Avenue","Sandusky","Ohio","44870","US","2220","419-626-6392","<MISSING>","41.43273","-82.7030","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2221-venice-road","Hy-Miler #2221 Venice Road","3223 Venice Road","Sandusky","Ohio","44870","US","2221","419-625-1098","<MISSING>","41.44178","-82.7440","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2222-sandusky-street","Hy-Miler #2222 Sandusky Street","247 South Sandusky Street","Tiffin","Ohio","44883","US","2222","419-447-2963","<MISSING>","41.11339","-83.1866","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2223-us-250","Hy-Miler #2223 U.S. 250","4768 U.S. 250","Norwalk","Ohio","44857","US","2223","419-668-7840","<MISSING>","41.26982","-82.6090","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2225-sandusky-street","Hy-Miler #2225 Sandusky Street","600 South Sandusky Street","Bucyrus","Ohio","44820","US","2225","419-617-7381","<MISSING>","40.80205","-82.9751","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2226-trenton-avenue","Hy-Miler #2226 Trenton Avenue","800 Trenton Avenue","Findlay","Ohio","45840","US","2226","419-425-1805","<MISSING>","41.05910","-83.6650","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2230-fostoria-road","Hy-Miler #2230 Fostoria Road","1831 Fostoria Road","Findlay","Ohio","45840","US","2230","419-424-0321","<MISSING>","41.05875","-83.6160","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2234-main-street","Hy-Miler #2234 Main Street","805 South Main Street","Huron","Ohio","44839","US","2234","419-433-6597","<MISSING>","41.04859","-82.7322","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2235-berlin-road","Hy-Miler #2235 Berlin Road","508 Berlin Road","Huron","Ohio","44839","US","2235","419-433-6204","<MISSING>","41.38865","-82.5416","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2236-cleveland-road","Hy-Miler #2236 Cleveland Road","2026 Cleveland Road","Huron","Ohio","44839","US","2236","419-433-7848","<MISSING>","41.40749","-82.5908","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2237-perry-street","Hy-Miler #2237 Perry Street","1814 East Perry Street","Port Clinton","Ohio","43452","US","2237","419-734-2908","<MISSING>","41.51458","-82.9123","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2241-fremont-road","Hy-Miler #2241 Fremont Road","1770 West Fremont Road","Port Clinton","Ohio","43452","US","2241","419-734-2989","<MISSING>","41.50082","-82.9671","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2244-state-street","Hy-Miler #2244 State Street","801 West State Street","Fremont","Ohio","43420","US","2244","419-334-3329","<MISSING>","41.34958","-83.1195","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2245-state-route-53","Hy-Miler #2245 State Route 53","3428 State Route 53","Fremont","Ohio","43420","US","2245","419-332-3860","<MISSING>","41.39847","-83.1067","Open 24 hours"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2250-tiffin-street","Hy-Miler #2250 Tiffin Street","8 E Tiffin Street","Willard","Ohio","44890","US","2250","419-935-9251","<MISSING>","41.05298","-82.7254","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2253-oregon-road","Hy-Miler #2253 Oregon Road","2488 Oregon Road","Northwood","Ohio","43619","US","2253","419-666-9823","<MISSING>","41.60936","-83.5385","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2254-main-street","Hy-Miler #2254 Main Street","906 West Main Street","Crestline","Ohio","44827","US","2254","419-683-6677","<MISSING>","40.79126","-82.7477","<MISSING>"
"https://hymiler.com","https://hymiler.com/locations/hy-miler-2224-townsend-road","Hy-Miler #2224 Townsend Road","110 Townsend Road","Norwalk","Ohio","44857","US","2224","419-668-6755","<MISSING>","41.24939","-82.5851","Open 24 hours"
